gas/nogas,Xvox,Yvox,Zvox,Mvox
0.0,0,36,72,0.00590493061706525
0.0,0,38,72,0.00590493061706525
0.0,1,30,69,0.00590493061706525
0.0,1,36,70,0.00590493061706525
0.0,2,25,70,0.00590493061706525
0.0,2,27,69,0.00590493061706525
0.0,2,31,69,0.00590493061706525
0.0,2,33,71,0.0118098612341305
0.0,2,36,71,0.00590493061706525
0.0,2,40,59,0.00590493061706525
0.0,3,25,71,0.00590493061706525
0.0,3,42,69,0.00590493061706525
0.0,4,40,70,0.00590493061706525
0.0,4,41,60,0.00590493061706525
0.0,6,28,66,0.00590493061706525
0.0,6,41,69,0.00590493061706525
0.0,6,64,48,0.00590493061706525
0.0,6,69,47,0.00590493061706525
0.0,6,72,47,0.00590493061706525
0.0,7,27,68,0.00590493061706525
0.0,7,29,59,0.00590493061706525
0.0,7,32,70,0.00590493061706525
0.0,7,34,68,0.00590493061706525
0.0,7,39,64,0.00590493061706525
0.0,7,41,67,0.00590493061706525
0.0,7,42,59,0.00590493061706525
0.0,7,42,67,0.00590493061706525
0.0,7,74,45,0.0118098612341305
0.0,7,76,44,0.00590493061706525
0.0,8,28,58,0.00590493061706525
0.0,8,30,68,0.00590493061706525
0.0,8,38,67,0.00590493061706525
0.0,8,40,68,0.00590493061706525
0.0,8,43,71,0.00590493061706525
0.0,8,68,49,0.00590493061706525
0.0,8,72,43,0.00590493061706525
0.0,9,27,58,0.00590493061706525
0.0,9,67,48,0.00590493061706525
0.0,9,68,52,0.00590493061706525
0.0,9,71,41,0.00590493061706525
0.0,9,72,52,0.00590493061706525
0.0,9,72,53,0.00590493061706525
0.0,10,28,62,0.00590493061706525
0.0,10,30,63,0.00590493061706525
0.0,10,31,69,0.00590493061706525
0.0,10,33,71,0.00590493061706525
0.0,10,39,65,0.00590493061706525
0.0,10,59,50,0.00590493061706525
0.0,10,65,58,0.00590493061706525
0.0,10,78,49,0.00590493061706525
0.0,11,29,57,0.00590493061706525
0.0,11,30,66,0.00590493061706525
0.0,11,30,71,0.00590493061706525
0.0,11,33,64,0.00590493061706525
0.0,11,38,68,0.00590493061706525
0.0,11,48,47,0.00590493061706525
0.0,11,59,55,0.00590493061706525
0.0,11,60,96,0.00590493061706525
0.0,11,66,95,0.00590493061706525
0.0,11,67,52,0.00590493061706525
0.0,11,67,53,0.0118098612341305
0.0,11,72,45,0.00590493061706525
0.0,11,73,54,0.00590493061706525
0.0,11,76,49,0.00590493061706525
0.0,11,78,54,0.00590493061706525
0.0,11,84,105,0.00590493061706525
0.0,12,29,60,0.00590493061706525
0.0,12,31,69,0.00590493061706525
0.0,12,32,59,0.00590493061706525
0.0,12,36,46,0.00590493061706525
0.0,12,50,96,0.00590493061706525
0.0,12,51,96,0.00590493061706525
0.0,12,55,94,0.00590493061706525
0.0,12,59,46,0.00590493061706525
0.0,12,59,95,0.00590493061706525
0.0,12,60,50,0.00590493061706525
0.0,12,61,98,0.00590493061706525
0.0,12,63,49,0.00590493061706525
0.0,12,63,56,0.00590493061706525
0.0,12,64,97,0.00590493061706525
0.0,12,67,92,0.00590493061706525
0.0,12,67,98,0.00590493061706525
0.0,12,68,56,0.00590493061706525
0.0,12,70,43,0.00590493061706525
0.0,12,76,40,0.00590493061706525
0.0,12,77,54,0.00590493061706525
0.0,12,79,40,0.00590493061706525
0.0,12,81,41,0.00590493061706525
0.0,12,88,104,0.00590493061706525
0.0,12,90,107,0.00590493061706525
0.0,13,35,60,0.00590493061706525
0.0,13,36,67,0.00590493061706525
0.0,13,39,52,0.00590493061706525
0.0,13,39,58,0.00590493061706525
0.0,13,40,56,0.00590493061706525
0.0,13,46,47,0.00590493061706525
0.0,13,47,49,0.00590493061706525
0.0,13,48,48,0.00590493061706525
0.0,13,53,54,0.00590493061706525
0.0,13,53,97,0.00590493061706525
0.0,13,57,47,0.00590493061706525
0.0,13,57,93,0.00590493061706525
0.0,13,58,48,0.00590493061706525
0.0,13,60,55,0.00590493061706525
0.0,13,62,56,0.00590493061706525
0.0,13,63,90,0.00590493061706525
0.0,13,64,93,0.00590493061706525
0.0,13,67,56,0.00590493061706525
0.0,13,68,50,0.00590493061706525
0.0,13,72,38,0.00590493061706525
0.0,13,77,39,0.00590493061706525
0.0,13,77,55,0.00590493061706525
0.0,13,79,56,0.00590493061706525
0.0,13,86,106,0.00590493061706525
0.0,14,30,66,0.0118098612341305
0.0,14,39,46,0.00590493061706525
0.0,14,39,49,0.00590493061706525
0.0,14,40,47,0.00590493061706525
0.0,14,40,54,0.00590493061706525
0.0,14,41,49,0.00590493061706525
0.0,14,43,48,0.00590493061706525
0.0,14,53,52,0.00590493061706525
0.0,14,54,55,0.00590493061706525
0.0,14,59,47,0.00590493061706525
0.0,14,60,96,0.00590493061706525
0.0,14,63,51,0.00590493061706525
0.0,14,69,45,0.00590493061706525
0.0,14,69,51,0.00590493061706525
0.0,14,69,56,0.00590493061706525
0.0,14,69,57,0.00590493061706525
0.0,14,70,58,0.00590493061706525
0.0,14,83,105,0.00590493061706525
0.0,15,29,62,0.00590493061706525
0.0,15,31,59,0.00590493061706525
0.0,15,31,64,0.00590493061706525
0.0,15,31,65,0.00590493061706525
0.0,15,38,67,0.00590493061706525
0.0,15,44,50,0.00590493061706525
0.0,15,46,53,0.00590493061706525
0.0,15,49,48,0.00590493061706525
0.0,15,51,49,0.00590493061706525
0.0,15,60,96,0.00590493061706525
0.0,15,62,56,0.00590493061706525
0.0,15,63,95,0.00590493061706525
0.0,15,68,42,0.00590493061706525
0.0,15,68,52,0.00590493061706525
0.0,15,69,42,0.0118098612341305
0.0,15,70,56,0.01771479185119575
0.0,15,71,39,0.00590493061706525
0.0,15,71,51,0.00590493061706525
0.0,15,71,57,0.00590493061706525
0.0,15,71,58,0.00590493061706525
0.0,15,78,37,0.00590493061706525
0.0,15,89,107,0.00590493061706525
0.0,16,34,67,0.00590493061706525
0.0,16,37,58,0.00590493061706525
0.0,16,44,49,0.00590493061706525
0.0,16,45,52,0.00590493061706525
0.0,16,51,58,0.0118098612341305
0.0,16,52,48,0.00590493061706525
0.0,16,54,58,0.00590493061706525
0.0,16,64,52,0.00590493061706525
0.0,16,65,38,0.00590493061706525
0.0,16,65,49,0.00590493061706525
0.0,16,67,61,0.00590493061706525
0.0,16,70,50,0.0118098612341305
0.0,16,70,56,0.0354295837023915
0.0,16,70,57,0.00590493061706525
0.0,16,71,57,0.00590493061706525
0.0,16,75,66,0.00590493061706525
0.0,16,76,64,0.00590493061706525
0.0,16,79,53,0.00590493061706525
0.0,16,82,105,0.00590493061706525
0.0,16,85,101,0.00590493061706525
0.0,16,87,111,0.00590493061706525
0.0,16,88,81,0.00590493061706525
0.0,16,89,104,0.00590493061706525
0.0,16,89,108,0.00590493061706525
0.0,16,89,110,0.00590493061706525
0.0,17,34,59,0.00590493061706525
0.0,17,34,65,0.00590493061706525
0.0,17,41,63,0.00590493061706525
0.0,17,41,65,0.00590493061706525
0.0,17,43,61,0.00590493061706525
0.0,17,49,45,0.00590493061706525
0.0,17,50,46,0.00590493061706525
0.0,17,52,54,0.00590493061706525
0.0,17,53,53,0.00590493061706525
